Airfoil,AoA,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,L/D
ag08,0,0.1885,0.00406,0.00075,-0.0377,0.7574,0.8617,46.4286
ag08,1,0.3003,0.00454,0.00073,-0.037,0.5892,1,66.1454
ag08,10,1.2133,0.02528,0.0209,-0.0253,0.0048,1,47.9945
ag08,11,1.2648,0.03373,0.0303,-0.0205,0.0042,1,37.4978
ag08,2,0.4101,0.00537,0.00093,-0.0365,0.4314,1,76.3687
ag08,3,0.5201,0.0062,0.0013,-0.0361,0.3086,1,83.8871
ag08,4,0.6296,0.00713,0.00185,-0.0358,0.206,1,88.3029
ag08,5,0.7374,0.00837,0.0027,-0.0353,0.1031,1,88.1004
ag08,6,0.8433,0.01,0.004,-0.0346,0.0288,1,84.33
ag08,7,0.9467,0.01222,0.0063,-0.0333,0.0097,1,77.4714
ag08,8,1.0461,0.01497,0.00938,-0.0316,0.0068,1,69.8798
ag08,9,1.1388,0.01855,0.01335,-0.0293,0.0055,1,61.3908
ag09,-1,0.0766,0.00589,0.00091,-0.035,0.9264,0.115,13.0051
ag09,-2,-0.0518,0.00644,0.00129,-0.0318,1,0.0472,-8.04348
ag09,-3,-0.1608,0.00747,0.00224,-0.0328,1,0.018,-21.5261
ag09,-4,-0.2711,0.00954,0.00456,-0.0334,1,0.0121,-28.4172
ag09,-5,-0.3811,0.0126,0.00813,-0.0341,1,0.0099,-30.246
ag09,0,0.1791,0.00537,0.00074,-0.0326,0.7567,0.4356,33.352
ag09,1,0.2835,0.00456,0.00073,-0.0307,0.5737,1,62.1711
ag09,10,1.1999,0.02776,0.02379,-0.0208,0.0051,1,43.2241
ag09,2,0.3941,0.00542,0.00091,-0.0303,0.4057,1,72.7122
ag09,3,0.5049,0.00626,0.00127,-0.0302,0.2827,1,80.655
ag09,4,0.6151,0.00717,0.00182,-0.0299,0.1842,1,85.788
ag09,5,0.7239,0.00838,0.00266,-0.0296,0.0887,1,86.3842
ag09,6,0.8304,0.0102,0.00414,-0.0291,0.0166,1,81.4118
ag09,7,0.9354,0.0124,0.00657,-0.028,0.0083,1,75.4355
ag09,8,1.0335,0.01603,0.01068,-0.0262,0.0065,1,64.4729
ag09,9,1.1241,0.02086,0.0161,-0.0238,0.0057,1,53.8878
ag10,-1,0.0535,0.00605,0.00107,-0.0306,0.9896,0.0913,8.84298
ag10,-2,-0.063,0.00681,0.00157,-0.03,1,0.0318,-9.2511
ag10,-3,-0.1754,0.00802,0.0028,-0.0303,1,0.0172,-21.8703
ag10,-4,-0.2876,0.01017,0.00516,-0.0306,1,0.0121,-28.2793
ag10,-5,-0.3995,0.01357,0.00916,-0.031,1,0.0101,-29.4399
ag10,0,0.163,0.00573,0.00095,-0.0293,0.7763,0.3473,28.4468
ag10,1,0.2661,0.00498,0.00092,-0.0273,0.5012,1,53.4337
ag10,10,1.1969,0.02785,0.02388,-0.0192,0.0067,1,42.9767
ag10,11,1.2307,0.04032,0.03757,-0.0157,0.0064,1,30.5233
ag10,2,0.3781,0.00582,0.00111,-0.0272,0.3468,1,64.9656
ag10,3,0.4901,0.00657,0.00145,-0.0271,0.2418,1,74.5967
ag10,4,0.6012,0.00751,0.002,-0.027,0.1456,1,80.0533
ag10,5,0.7112,0.0087,0.00285,-0.0267,0.066,1,81.7471
ag10,6,0.8197,0.01027,0.00422,-0.0263,0.019,1,79.815
ag10,7,0.9258,0.01259,0.00676,-0.0254,0.0101,1,73.5346
ag10,8,1.0293,0.01501,0.00951,-0.0243,0.0085,1,68.5743
ag10,9,1.1213,0.01999,0.01504,-0.0223,0.0072,1,56.093
ag11,-1,0.1122,0.00787,0.00251,-0.0354,0.8121,0.0104,14.2567
ag11,-2,0.0077,0.01108,0.00648,-0.0387,0.9263,0.0105,0.694946
ag11,1,0.3285,0.00479,0.00089,-0.0334,0.555,1,68.5804
ag11,10,1.2889,0.01549,0.00996,-0.0296,0.0225,1,83.2085
ag11,12,1.4711,0.02043,0.0153,-0.0263,0.0081,1,72.0069
ag11,13,1.5395,0.02517,0.02044,-0.0226,0.0034,1,61.1641
ag11,2,0.4392,0.00556,0.00102,-0.0332,0.4146,1,78.9928
ag11,3,0.5496,0.00645,0.00134,-0.0331,0.2896,1,85.2093
ag11,4,0.6595,0.00737,0.00185,-0.033,0.1964,1,89.4844
ag11,5,0.7685,0.00839,0.00257,-0.0328,0.1247,1,91.5971
ag11,6,0.8762,0.00954,0.00354,-0.0325,0.0753,1,91.8449
ag11,7,0.9826,0.01079,0.00478,-0.0321,0.0528,1,91.0658
ag11,8,1.0864,0.0124,0.00653,-0.0313,0.0393,1,87.6129
ag11,9,1.1892,0.01383,0.0081,-0.0306,0.0303,1,85.987
ag12,-1,0.1149,0.00509,0.00074,-0.048,0.8398,0.4097,22.5737
ag12,-2,0.004,0.00568,0.00104,-0.0489,0.9737,0.1834,0.704225
ag12,-3,-0.1317,0.00701,0.00177,-0.0435,1,0.0181,-18.7874
ag12,-5,-0.3476,0.01237,0.00789,-0.0459,1,0.0071,-28.1002
ag12,1,0.328,0.00465,0.00074,-0.0448,0.5559,1,70.5376
ag12,11,1.3138,0.0311,0.02743,-0.0308,0.0026,1,42.2444
ag12,2,0.439,0.00535,0.00093,-0.0444,0.4323,1,82.0561
ag12,3,0.5495,0.00616,0.0013,-0.0441,0.3174,1,89.2045
ag12,4,0.6591,0.00713,0.00188,-0.0438,0.209,1,92.4404
ag12,5,0.7674,0.00835,0.00274,-0.0433,0.1124,1,91.9042
ag12,6,0.8741,0.00981,0.00393,-0.0427,0.0452,1,89.103
ag12,7,0.9786,0.01173,0.00579,-0.0416,0.0116,1,83.4271
ag12,8,1.0797,0.01431,0.00866,-0.0401,0.0052,1,75.4507
ag12,9,1.1696,0.01902,0.014,-0.0374,0.004,1,61.4932
ag13,-1,0.129,0.00504,0.00075,-0.0507,0.8704,0.3801,25.5952
ag13,-2,0.0135,0.00596,0.0011,-0.0503,0.9829,0.108,2.2651
ag13,-3,-0.1202,0.00732,0.00218,-0.0457,1,0.0111,-16.4208
ag13,-4,-0.2278,0.01023,0.00553,-0.0471,1,0.0083,-22.2678
ag13,0,0.2332,0.00455,0.0007,-0.0487,0.7108,0.7458,51.2527
ag13,1,0.3401,0.00461,0.00072,-0.0469,0.5657,1,73.7744
ag13,10,1.2657,0.0233,0.01881,-0.0367,0.003,1,54.3219
ag13,11,1.2705,0.03945,0.03658,-0.0297,0.0025,1,32.2053
ag13,2,0.4506,0.00536,0.00092,-0.0465,0.4314,1,84.0672
ag13,3,0.5607,0.00622,0.0013,-0.0461,0.3054,1,90.1447
ag13,4,0.67,0.00722,0.0019,-0.0458,0.1969,1,92.7978
ag13,5,0.778,0.00844,0.00275,-0.0453,0.1055,1,92.1801
ag13,7,0.9894,0.01164,0.0057,-0.0436,0.0126,1,85
ag13,8,1.087,0.01515,0.00962,-0.0415,0.0048,1,71.7492
ag13,9,1.1809,0.01874,0.01373,-0.0393,0.004,1,63.0149
ag14,-1,0.1416,0.00517,0.00076,-0.0523,0.8954,0.2961,27.3888
ag14,-2,0.0167,0.00628,0.00122,-0.0497,0.9904,0.0372,2.65924
ag14,-3,-0.1113,0.00863,0.00381,-0.0468,1,0.0094,-12.8969
ag14,0,0.2375,0.00395,0.00071,-0.0484,0.7285,0.912,60.1266
ag14,1,0.35,0.00463,0.0007,-0.0481,0.5589,1,75.594
ag14,10,1.2536,0.02809,0.02418,-0.0358,0.0026,1,44.628
ag14,11,1.2671,0.04173,0.03909,-0.0305,0.0026,1,30.3642
ag14,2,0.4601,0.00543,0.00091,-0.0476,0.4157,1,84.733
ag14,3,0.57,0.00628,0.00129,-0.0472,0.2951,1,90.7643
ag14,5,0.7872,0.00843,0.00274,-0.0462,0.104,1,93.3808
ag14,6,0.8937,0.00983,0.00393,-0.0455,0.0454,1,90.9156
ag14,7,0.9984,0.01157,0.00563,-0.0446,0.0131,1,86.2921
ag14,8,1.0971,0.01486,0.0093,-0.0426,0.0049,1,73.8291
ag16,-1,0.1267,0.00524,0.00075,-0.0524,0.807,0.423,24.1794
ag16,-2,0.0208,0.00545,0.00098,-0.0544,0.9184,0.2809,3.81651
ag16,-3,-0.1002,0.0064,0.00146,-0.0527,0.9845,0.1012,-15.6562
ag16,-4,-0.2372,0.00797,0.00277,-0.0472,1,0.0119,-29.7616
ag16,-5,-0.3422,0.01011,0.00522,-0.0487,1,0.0077,-33.8477
ag16,0,0.236,0.00514,0.00072,-0.0516,0.6893,0.6059,45.9144
ag16,1,0.3417,0.00463,0.0008,-0.0496,0.5777,1,73.8013
ag16,11,1.3299,0.02941,0.02541,-0.0351,0.0026,1,45.2193
ag16,2,0.4533,0.00528,0.00099,-0.0494,0.4655,1,85.8523
ag16,3,0.5642,0.00608,0.00136,-0.0492,0.3499,1,92.7961
ag16,4,0.6739,0.00707,0.00194,-0.0489,0.2371,1,95.3182
ag16,5,0.7822,0.0083,0.00278,-0.0485,0.1347,1,94.241
ag16,6,0.8882,0.00993,0.00403,-0.0479,0.0486,1,89.4461
ag16,7,0.9922,0.01188,0.00585,-0.0468,0.0113,1,83.5185
ag16,8,1.0927,0.01443,0.00868,-0.0452,0.0049,1,75.7242
ag16,9,1.1818,0.01887,0.01369,-0.0423,0.0038,1,62.6285
ag17,-2,0.034,0.0056,0.00101,-0.0559,0.9391,0.2104,6.07143
ag17,-3,-0.0959,0.00688,0.00168,-0.0521,0.9921,0.0248,-13.939
ag17,0,0.2469,0.00486,0.00071,-0.0527,0.712,0.6566,50.8025
ag17,1,0.3529,0.00456,0.00075,-0.0508,0.5897,1,77.3904
ag17,11,1.3214,0.03263,0.02896,-0.0349,0.0023,1,40.4965
ag17,2,0.4637,0.0053,0.00096,-0.0504,0.4574,1,87.4906
ag17,3,0.574,0.00618,0.00135,-0.0501,0.3301,1,92.8803
ag17,4,0.6835,0.00718,0.00194,-0.0498,0.2193,1,95.195
ag17,5,0.7918,0.00838,0.00279,-0.0494,0.1244,1,94.4869
ag17,6,0.8982,0.0099,0.00399,-0.0488,0.0502,1,90.7273
ag17,7,1.0028,0.01165,0.00564,-0.0478,0.0146,1,86.0773
ag17,8,1.1033,0.01428,0.00851,-0.0462,0.005,1,77.2619
ag17,9,1.1937,0.01859,0.0134,-0.0435,0.0037,1,64.2119
ag18,-1,0.1508,0.00515,0.00076,-0.0551,0.8513,0.3675,29.2816
ag18,-2,0.0452,0.00595,0.00109,-0.057,0.9572,0.1025,7.59664
ag18,-4,-0.2091,0.01006,0.00538,-0.0509,1,0.008,-20.7853
ag18,0,0.2569,0.0045,0.00072,-0.0537,0.7333,0.741,57.0889
ag18,1,0.3637,0.00449,0.00072,-0.0518,0.6016,1,81.0022
ag18,10,1.2897,0.02234,0.01764,-0.0416,0.0027,1,57.7305
ag18,11,1.3123,0.03563,0.03232,-0.0345,0.0022,1,36.8313
ag18,2,0.4737,0.00533,0.00093,-0.0514,0.4457,1,88.8743
ag18,3,0.5834,0.00627,0.00134,-0.051,0.3092,1,93.0463
ag18,4,0.6925,0.00727,0.00193,-0.0506,0.2023,1,95.2545
ag18,5,0.8004,0.00847,0.00279,-0.0501,0.1133,1,94.4982
ag18,7,1.0113,0.01156,0.00559,-0.0484,0.0167,1,87.4827
ag18,8,1.1117,0.0141,0.00833,-0.0468,0.0053,1,78.844
ag19,-1,0.1596,0.00531,0.00076,-0.056,0.865,0.2871,30.0565
ag19,-2,0.0516,0.0062,0.00117,-0.0574,0.9688,0.0418,8.32258
ag19,-4,-0.1996,0.01104,0.00657,-0.0523,1,0.0071,-18.0797
ag19,1,0.3715,0.00445,0.0007,-0.0526,0.6089,1,83.4831
ag19,10,1.297,0.02237,0.01767,-0.0424,0.0025,1,57.9794
ag19,11,1.3213,0.03575,0.03251,-0.0354,0.0021,1,36.9594
ag19,2,0.4809,0.00538,0.00092,-0.052,0.4333,1,89.3866
ag19,3,0.5904,0.00635,0.00132,-0.0516,0.2938,1,92.9764
ag19,4,0.6994,0.00735,0.00193,-0.0512,0.1903,1,95.1565
ag19,5,0.8073,0.0085,0.00279,-0.0507,0.1071,1,94.9765
ag19,6,0.9138,0.00986,0.00395,-0.05,0.0516,1,92.6775
ag19,7,1.0182,0.01154,0.00557,-0.049,0.0175,1,88.2322
ag19,8,1.1187,0.01403,0.00825,-0.0475,0.0055,1,79.7363
ag23,-2,0.0723,0.00564,0.00105,-0.0652,0.8307,0.354,12.8191
ag23,-3,-0.0389,0.00659,0.0015,-0.0651,0.8819,0.1324,-5.90288
ag23,-4,-0.1479,0.00782,0.00249,-0.0658,0.9272,0.0198,-18.913
ag23,-5,-0.2542,0.00924,0.00419,-0.0675,0.9652,0.0109,-27.5108
ag23,0,0.2966,0.00491,0.00088,-0.0652,0.7001,0.7281,60.4073
ag23,1,0.405,0.00498,0.00102,-0.064,0.6144,0.8663,81.3253
ag23,10,1.3283,0.01983,0.01429,-0.0547,0.0042,1,66.9844
ag23,11,1.3692,0.0273,0.02249,-0.0465,0.0036,1,50.1538
ag23,12,1.3932,0.03338,0.02912,-0.0376,0.0035,1,41.7376
ag23,2,0.5122,0.00526,0.00115,-0.0626,0.5221,1,97.3764
ag23,3,0.6248,0.00596,0.00149,-0.063,0.4292,1,104.832
ag23,4,0.7359,0.00681,0.002,-0.0632,0.3371,1,108.062
ag23,5,0.8449,0.0079,0.00273,-0.0632,0.2388,1,106.949
ag23,6,0.9504,0.00943,0.00381,-0.0627,0.1315,1,100.785
ag23,7,1.0522,0.01139,0.00533,-0.0619,0.0453,1,92.3793
ag23,8,1.1503,0.01377,0.0076,-0.0603,0.0097,1,83.5367
ag23,9,1.2425,0.01671,0.01086,-0.0577,0.0058,1,74.3567
ag24,-1,0.1843,0.00517,0.00085,-0.0653,0.7779,0.5167,35.648
ag24,-2,0.0727,0.00564,0.00103,-0.0654,0.8443,0.3219,12.8901
ag24,-3,-0.037,0.00658,0.0015,-0.0658,0.9014,0.1102,-5.6231
ag24,-4,-0.1441,0.00774,0.00249,-0.0671,0.9489,0.0174,-18.6176
ag24,-5,-0.2592,0.00941,0.00442,-0.0669,0.9823,0.0096,-27.5452
ag24,0,0.2956,0.00492,0.00084,-0.0649,0.6991,0.7095,60.0813
ag24,1,0.3998,0.00482,0.00097,-0.0627,0.6089,0.908,82.9461
ag24,10,1.3107,0.02249,0.01731,-0.0518,0.0037,1,58.2792
ag24,11,1.374,0.02744,0.02278,-0.0464,0.0035,1,50.0729
ag24,13,1.377,0.04584,0.04246,-0.0332,0.0029,1,30.0393
ag24,2,0.5121,0.00526,0.00111,-0.0626,0.5123,1,97.3574
ag24,3,0.6239,0.00598,0.00146,-0.0627,0.4165,1,104.331
ag24,4,0.7344,0.00686,0.00198,-0.0628,0.3197,1,107.055
ag24,5,0.8428,0.00802,0.00275,-0.0626,0.217,1,105.087
ag24,6,0.9483,0.00956,0.00386,-0.0621,0.1133,1,99.1946
ag24,7,1.0502,0.01154,0.00543,-0.0611,0.0339,1,91.0052
ag24,9,1.2421,0.01679,0.011,-0.0571,0.0049,1,73.9786
ag25,-1,0.1991,0.0052,0.00082,-0.0676,0.7911,0.4659,38.2885
ag25,-2,0.0889,0.00578,0.00104,-0.068,0.8643,0.2366,15.3806
ag25,-3,-0.0191,0.00684,0.00164,-0.0689,0.9268,0.0368,-2.7924
ag25,-4,-0.1304,0.00816,0.00312,-0.0699,0.9719,0.0106,-15.9804
ag25,-5,-0.2635,0.01168,0.00713,-0.0652,0.9909,0.008,-22.5599
ag25,0,0.3093,0.0048,0.00081,-0.0671,0.7077,0.721,64.4375
ag25,1,0.4145,0.00461,0.00086,-0.0649,0.6116,1,89.9132
ag25,10,1.3306,0.02184,0.01669,-0.054,0.0035,1,60.9249
ag25,11,1.3969,0.02682,0.02219,-0.0491,0.0029,1,52.0843
ag25,12,1.4293,0.0331,0.029,-0.0412,0.0024,1,43.1813
ag25,2,0.5261,0.00526,0.00106,-0.0648,0.5052,1,100.019
ag25,3,0.6369,0.00606,0.00143,-0.0647,0.3978,1,105.099
ag25,4,0.7466,0.007,0.00199,-0.0645,0.293,1,106.657
ag25,6,0.9599,0.00969,0.00391,-0.0636,0.0989,1,99.0609
ag25,7,1.0623,0.01156,0.00546,-0.0626,0.0311,1,91.8945
ag25,8,1.1595,0.01432,0.00828,-0.0606,0.0066,1,80.9707
ag25,9,1.2516,0.0174,0.01169,-0.0581,0.0041,1,71.931
ag26,-1,0.2013,0.00535,0.00081,-0.0666,0.7945,0.394,37.6262
ag26,-2,0.0921,0.00608,0.00109,-0.0672,0.8754,0.1312,15.148
ag26,-3,-0.0143,0.00705,0.00189,-0.0691,0.9463,0.016,-2.02837
ag26,-4,-0.1377,0.00993,0.00523,-0.0672,0.9852,0.0089,-13.8671
ag26,-5,-0.277,0.01346,0.00933,-0.0613,0.9971,0.0072,-20.5795
ag26,0,0.3107,0.00478,0.0008,-0.066,0.7076,0.716,65
ag26,1,0.4173,0.00456,0.00082,-0.0641,0.6162,1,91.5132
ag26,11,1.416,0.02507,0.02031,-0.0499,0.0027,1,56.4819
ag26,2,0.5284,0.00523,0.00101,-0.0638,0.5038,1,101.033
ag26,3,0.6384,0.00611,0.00139,-0.0635,0.3786,1,104.484
ag26,4,0.7473,0.00714,0.00198,-0.0632,0.2645,1,104.664
ag26,5,0.855,0.00833,0.00278,-0.0628,0.1668,1,102.641
ag26,6,0.9606,0.00978,0.00391,-0.0621,0.0855,1,98.2209
ag26,8,1.1644,0.01356,0.00751,-0.0597,0.0099,1,85.8702
ag26,9,1.2589,0.01642,0.01062,-0.0575,0.0046,1,76.6687
ag27,-1,0.204,0.00553,0.00081,-0.0658,0.818,0.2885,36.8897
ag27,-2,0.0964,0.00626,0.00116,-0.067,0.9011,0.0592,15.3994
ag27,-3,-0.0127,0.00745,0.00249,-0.0687,0.9691,0.0115,-1.7047
ag27,-4,-0.148,0.01071,0.00619,-0.0641,0.9936,0.0079,-13.8189
ag27,0,0.3127,0.00493,0.00077,-0.0651,0.7186,0.6347,63.428
ag27,1,0.4189,0.00457,0.00079,-0.0632,0.6095,1,91.663
ag27,10,1.3482,0.01994,0.01466,-0.0531,0.0035,1,67.6128
ag27,11,1.4081,0.02689,0.02236,-0.0476,0.0027,1,52.3652
ag27,12,1.3892,0.03949,0.03605,-0.0365,0.0026,1,35.1785
ag27,13,1.3621,0.05454,0.05179,-0.0393,0.0025,1,24.9743
ag27,2,0.5294,0.00526,0.00098,-0.0628,0.4907,1,100.646
ag27,3,0.6388,0.00618,0.00137,-0.0623,0.3578,1,103.366
ag27,4,0.7472,0.0073,0.00199,-0.0619,0.2314,1,102.356
ag27,5,0.8544,0.00854,0.00284,-0.0613,0.1352,1,100.047
ag27,6,0.9608,0.0098,0.00391,-0.0606,0.0788,1,98.0408
ag27,7,1.0651,0.01127,0.00525,-0.0597,0.0388,1,94.5075
ag27,8,1.1658,0.01331,0.00726,-0.0583,0.0124,1,87.5883
ag27,9,1.2607,0.01625,0.01046,-0.056,0.005,1,77.5815
ag35,-1,0.311,0.00514,0.00109,-0.0465,0.5424,1,60.5058
ag35,-3,0.0844,0.00642,0.00115,-0.046,0.7436,0.2693,13.1464
ag35,-5,-0.1366,0.0081,0.00246,-0.0472,0.8634,0.0238,-16.8642
ag35,0,0.4211,0.00546,0.00118,-0.0461,0.5062,1,77.1245
ag35,1,0.5327,0.00579,0.00136,-0.0461,0.4677,1,92.0035
ag35,10,1.406,0.02297,0.01748,-0.0364,0.0065,1,61.2103
ag35,11,1.4519,0.02708,0.022,-0.0296,0.0058,1,53.6152
ag35,12,1.4649,0.03404,0.02939,-0.0235,0.0053,1,43.0347
ag35,2,0.644,0.00628,0.00162,-0.0463,0.4027,1,102.548
ag35,3,0.7529,0.00716,0.00215,-0.0464,0.3065,1,105.154
ag35,4,0.8598,0.00835,0.00295,-0.0465,0.2105,1,102.97
ag35,5,0.9648,0.0097,0.00397,-0.0464,0.1304,1,99.4639
ag35,6,1.0667,0.01136,0.00534,-0.046,0.0648,1,93.8996
ag35,7,1.1637,0.01348,0.00725,-0.0451,0.0216,1,86.3279
ag35,9,1.3409,0.01883,0.013,-0.041,0.0081,1,71.2108
ag36,-2,0.1707,0.00537,0.00096,-0.0452,0.6613,0.6366,31.7877
ag36,-5,-0.1518,0.00814,0.00278,-0.0486,0.9358,0.0201,-18.6486
ag36,0,0.3961,0.00533,0.0011,-0.0449,0.5187,1,74.3152
ag36,1,0.5078,0.00567,0.00127,-0.045,0.4743,1,89.5591
ag36,10,1.3815,0.02375,0.01849,-0.0344,0.0054,1,58.1684
ag36,11,1.3989,0.03042,0.02566,-0.0247,0.0049,1,45.9862
ag36,12,1.3941,0.04002,0.03585,-0.0199,0.0047,1,34.8351
ag36,2,0.6189,0.00618,0.00154,-0.0451,0.4025,1,100.146
ag36,3,0.7279,0.00708,0.00207,-0.0452,0.3038,1,102.811
ag36,4,0.8348,0.00832,0.00288,-0.0452,0.1942,1,100.337
ag36,5,0.9392,0.00983,0.00399,-0.045,0.1033,1,95.5443
ag36,6,1.0399,0.01176,0.00556,-0.0444,0.0322,1,88.4269
ag36,7,1.137,0.01404,0.00784,-0.0432,0.0115,1,80.9829
ag36,8,1.2302,0.01649,0.01052,-0.0415,0.0078,1,74.6028
ag36,9,1.3114,0.01993,0.01431,-0.0385,0.0062,1,65.8003
ag37,-1,0.2649,0.00491,0.00103,-0.0448,0.5739,1,53.9511
ag37,-4,-0.0554,0.00757,0.00224,-0.0491,0.9504,0.0221,-7.31836
ag37,-5,-0.1768,0.00883,0.00362,-0.0477,0.9856,0.0154,-20.0227
ag37,0,0.376,0.00532,0.0011,-0.0446,0.5181,1,70.6767
ag37,1,0.4881,0.00571,0.00126,-0.0446,0.4652,1,85.4816
ag37,10,1.399,0.02048,0.01505,-0.0381,0.0098,1,68.3105
ag37,11,1.4676,0.02424,0.0192,-0.0339,0.0078,1,60.5446
